time,e_v,e_dot_v,e_w,e_dot_w
0,0.0016000000000000003,-0.03999999999999998,0.01,1.0
0.01,0.02069998875012656,1.9099988750126562,0.010399500004166657,0.03995000041666563
0.02,0.0016998987541764765,-1.9000089995950085,0.010797500070832439,0.039800006666578125
0.03,0.021399595034929685,1.9699696280753207,0.011193000408322318,0.03955003374898791
0.04,0.0029988751645185774,-1.8400719870411106,0.011585001474932102,0.039200106660978284
0.05,-0.015102530690026574,-1.810140585454515,0.011972504078881768,0.03875026039496665
0.060000000000000005,0.005495040293933646,2.059757098396022,0.012354509478233813,0.03820053993520456
0.07,-0.012008816329488702,-1.7503856623422347,0.012730019480766613,0.037551000253279954
0.08,0.009185427816289688,2.1194244145778387,0.013098036543792812,0.03680170630261981
0.09,-0.0077227659635633415,-1.6908193779853031,0.013457563873912759,0.03595273301199464
0.09999999999999999,0.014065996685908643,2.178876264947198,0.013807605526693021,0.03500416527802619
0.10999999999999999,-0.0022489566942817327,-1.6314953380190378,0.014147166506259993,0.033956097956697184
0.11999999999999998,0.02013163477423475,2.238059146851648,0.014475252864798659,0.03280863585386662
0.12999999999999998,0.004406965473483196,-1.572466930075156,0.014790871801946543,0.03156189371478846
0.13999999999999999,-0.011023836529594815,-1.5430802003078006,0.01509303176407292,0.030215996212637597
0.15,0.012238290713040098,2.326212724263491,0.015380742543433346,0.02877107793604261
0.16,-0.002607656758417211,-1.4845947471457306,0.01565301537718962,0.027227283375627298
0.17,0.021237251414270353,2.3844908172687562,0.01590886304628523,0.02558476690956113
0.18000000000000002,0.006971880148046977,-1.4265371266223374,0.01614729997416645,0.023843692788121817
0.19000000000000003,-0.00700497082604714,-1.3976850974094115,0.016367342325339155,0.022004235117270676
0.20000000000000004,0.01770543330717965,2.471040413322679,0.016568008103751575,0.020066577841241995
0.21000000000000005,0.004301762731731704,-1.340367057544794,0.016748317250993062,0.01803091472414864
0.22000000000000006,-0.00881737670037093,-1.311913943210263,0.01690729174429912,0.015897449330605884
0.23000000000000007,0.016746556844584898,2.5563933544955826,0.017043955694352873,0.013666395005375143
0.24000000000000007,0.0041920415100867026,-1.2554515334498195,0.01715733544287317,0.01133797485202992
0.25000000000000006,-0.008082507908192343,-1.2274549418279044,0.017246459659979622,0.008912421710645102
0.26000000000000006,0.018321260394270886,2.640376830246323,0.01731035944132476,0.006389978134513585
0.2700000000000001,0.006601635601686501,-1.1719624792584387,0.01734806840498367,0.0037708963658908967
0.2800000000000001,-0.004843155337122096,-1.144479093880859,0.01735862278809138,0.0010554383107712617
0.2900000000000001,0.022385052690210863,2.7228208027332963,0.017341061543218357,-0.0017561244873024462
0.3000000000000001,0.011484363372435469,-1.0900689317775392,0.01729442643447442,-0.00466351087439365
0.3100000000000001,0.0008528194013481538,-1.0631543971087305,0.01721776213333156,-0.007666430114286249
0.3200000000000001,0.028888402912177813,2.803558351082966,0.01711011631415597,-0.010764581917558802
0.3300000000000001,0.01878903593759683,-1.0099366974580979,0.016970539749439843,-0.013957656471612734
0.34000000000000014,0.008952580875254981,-0.9836455062341845,0.016798086404723307,-0.01724533447165344
0.35000000000000014,-0.0006231590312690549,-0.9575739906524037,0.0165918135331971,-0.020627287152620744
0.36000000000000015,0.02845956080179321,2.9082719833062267,0.016350781769976452,-0.024103176322064823
0.37000000000000016,0.019398426805859237,-0.9061133995933965,0.0160740552260368,-0.027672654393965268
0.38000000000000017,0.01059106778053863,-0.8807359025320607,0.015760701581801907,-0.0313353644234895
0.3900000000000002,0.0020350554271431898,-0.8556012353395441,0.01540979218037504,-0.035090940142686655
0.4000000000000002,-0.006272095104956105,-0.8307150532099286,0.015020402120403894,-0.03893900599711464
0.4100000000000002,0.024067075340751837,3.033917044570794,0.014591610348569947,-0.04287917718339462
0.4200000000000002,0.016249970499597227,-0.7817104841154603,0.014122499751693033,-0.04691105968769149
0.4300000000000002,0.008673939269878056,-0.7576031229719171,0.013612157248441887,-0.05103425032511455
0.4400000000000002,0.00133627630934674,-0.7337662960531315,0.013059673880641524,-0.05524833678003627
0.45000000000000023,0.03263422264390074,3.1297946334554,0.012464144904168296,-0.059552897647322856
0.46000000000000024,0.025764966288340102,-0.6869256355560633,0.01182466987942355,-0.06394750247447445
0.47000000000000025,0.019125642879052246,-0.6639323409287847,0.011140352761376843,-0.06843171180467078
0.48000000000000026,0.012713336318481719,-0.6412306560570529,0.010410301989169687,-0.07300507722071559
0.49000000000000027,0.006525079431239797,-0.6188256887241916,0.009633630575270904,-0.07766714138987829
0.5000000000000002,0.0005578546317065031,-0.596722479953331,0.008809456194174635,-0.08241743810962698
0.5100000000000002,0.033208594602974525,3.265073997126803,0.00793690127063215,-0.08725549235424845
0.5200000000000002,0.027674182986982723,-0.5534411615991788,0.007015093067408652,-0.09218082032234987
0.5300000000000002,0.022351455085683467,-0.5322727901299256,0.0060431637725562645,-0.09719292948523872
0.5400000000000003,0.017237198573086324,-0.5114256512597142,0.005020250586194507,-0.10229131863617569
0.5500000000000003,0.012328154218017903,-0.4909044355068422,0.003945495806789567,-0.10747547794049406
0.5600000000000003,0.007621016617435097,-0.47071376005828053,0.0028180469169237304,-0.11274488898658364
0.5700000000000003,0.0031124349401268347,-0.4508581677308266,0.0016370566685464198,-0.11809902483773105
0.5800000000000003,-0.001200986319363051,-0.43134212594898896,0.0004016831676982905,-0.12353735008481292
0.5900000000000003,0.033077313423238594,3.427829974260164,-0.0008889100413000724,-0.1290593208998363
0.6000000000000003,0.029143851615788266,-0.3933461807450325,0.016964446107796703,1.7853356149096777
